#ValeursProches.dat
#QP puissance gauss-seidel
0.008000000000000007 786 25
0.008100000000000007 776 25
0.008200000000000006 767 25
0.008300000000000005 758 25
0.008400000000000005 749 25
0.008500000000000004 740 25
0.008600000000000003 731 25
0.008700000000000003 723 25
0.008800000000000002 715 25
0.008900000000000002 707 25
0.009000000000000001 699 25
0.0091 691 25
0.0092 684 25
0.0093 677 25
0.009399999999999999 669 25
0.009499999999999998 662 25
0.009599999999999997 656 25
0.009699999999999997 649 24
0.009799999999999996 642 24
0.009899999999999996 636 24
0.009999999999999995 629 24
0.010099999999999994 623 24
0.010199999999999994 617 24
0.010299999999999993 611 24
0.010399999999999993 605 24
0.010499999999999992 600 24
0.010599999999999991 594 24
0.01069999999999999 588 24
0.01079999999999999 583 24
0.01089999999999999 578 24
0.010999999999999989 572 24
0.011099999999999988 567 24
0.011199999999999988 562 24
0.011299999999999987 557 24
0.011399999999999987 552 24
0.011499999999999986 548 24
0.011599999999999985 543 24
0.011699999999999985 538 24
0.011799999999999984 534 24
0.011899999999999984 529 24
0.011999999999999983 525 24
0.012099999999999982 521 24
0.012199999999999982 516 24
0.012299999999999981 512 24
0.01239999999999998 508 24
0.01249999999999998 504 24
0.01259999999999998 500 24
0.012699999999999979 496 24
0.012799999999999978 492 24
0.012899999999999977 489 24
0.012999999999999977 485 23
0.013099999999999976 481 23
0.013199999999999976 477 23
0.013299999999999975 474 23
0.013399999999999974 470 23
0.013499999999999974 467 23
0.013599999999999973 463 23
0.013699999999999973 460 23
0.013799999999999972 457 23
0.013899999999999971 454 23
0.01399999999999997 450 23
0.01409999999999997 447 23
0.01419999999999997 444 23
0.014299999999999969 441 23
0.014399999999999968 438 23
0.014499999999999968 435 23
0.014599999999999967 432 23
0.014699999999999967 429 23
0.014799999999999966 426 23
0.014899999999999965 423 23
0.014999999999999965 420 23
0.015099999999999964 418 23
0.015199999999999964 415 23
0.015299999999999963 412 23
0.015399999999999962 410 23
0.015499999999999962 407 23
0.015599999999999961 404 23
0.01569999999999996 402 23
0.01579999999999996 399 23
0.01589999999999996 397 23
0.01599999999999996 394 23
0.016099999999999958 392 23
0.016199999999999957 389 23
0.016299999999999957 387 23
0.016399999999999956 385 23
0.016499999999999956 382 23
0.016599999999999955 380 23
0.016699999999999954 378 23
0.016799999999999954 376 23
0.016899999999999953 373 23
0.016999999999999953 371 23
0.017099999999999952 369 23
0.01719999999999995 367 23
0.01729999999999995 365 22
0.01739999999999995 363 22
0.01749999999999995 361 22
0.01759999999999995 359 22
0.01769999999999995 357 22
0.017799999999999948 355 22
0.017899999999999947 353 22
0.017999999999999947 351 22
0.018099999999999946 349 22
0.018199999999999945 347 22
0.018299999999999945 345 22
0.018399999999999944 343 22
0.018499999999999944 341 22
0.018599999999999943 339 22
0.018699999999999942 338 22
0.018799999999999942 336 22
0.01889999999999994 334 22
0.01899999999999994 332 22
0.01909999999999994 330 22
0.01919999999999994 329 22
0.01929999999999994 327 22
0.019399999999999938 325 22
0.019499999999999938 324 22
0.019599999999999937 322 22
